MapID,Name,latitude,longitude
1,Memorial Hall,39.97943442910,-75.20917711640
2,Main Exhibition Hall,39.97799596310,-75.21008335040
3,Machinery Hall,39.98057525990,-75.21671827780
4,Agricultural Hall,39.98833736380,-75.21319043840
5,Women's Pavilion,39.98404723650,-75.21425849990
6,U.S. Government Building,39.98347685240,-75.21688010530
7,Horticultural Hall,39.98330325630,-75.21018044690
8,State Buildings,39.98389844110,-75.22199385420
