Longitude,Latitude,Name
-75.074526,39.9966741,Wawa 0252 (24)
-75.31,40.06806,Wawa 0253 (24)
-75.2940471,39.8665675,Wawa 0254 (24)
-75.3928367,40.0443384,Wawa 0257 (24)
-75.5690755,40.1828824,"Wawa 0258 (24, Gas)"
-76.1959344,40.1724699,"Wawa 0260 (24, Gas, Diesel)"
-75.0328652,40.0395352,Wawa 0262 (24)
-75.9334176,39.9840495,"Wawa 0263 (24, Gas, Diesel)"
-75.303426,39.9762612,Wawa 0265
-75.6173207,40.5723834,"Wawa 0266 (24, Gas, Diesel)"
-74.9445111,40.0959327,Wawa 0267 (24)
-74.845222,40.117884,"Wawa 0268 (24, Gas, Diesel)"
-75.485466,39.896715,"Wawa 0269 (24, Gas, Diesel)"
-75.771871,41.061116,"Wawa 0270 (24, Gas)"
-75.1451646,40.1872659,"Wawa 0271 (24, Gas)"
-75.3435023,40.4177081,"Wawa 0272 (24, Gas, Diesel)"
-75.3147459,40.228607,Wawa 0273 (24)
-75.9355766,40.389056,"Wawa 0274 (24, Gas, Diesel)"
-76.2313849,40.0297823,"Wawa 0275 (24, Gas, Diesel)"
-75.0845646,40.0749302,"Wawa 0276 (24, Gas, Diesel)"
-74.979175,40.120996,"Wawa 0277 (24, Gas, Diesel)"
-75.5937315,39.9650445,"Wawa 0278 (24, Gas)"
-75.480851,40.277448,"Wawa 0281 (24, Gas, Diesel)"
-75.7293524,40.259987,"Wawa 0282 (24, Gas)"
-75.5285,40.1932,"Wawa 0284 (24, Gas, Diesel)"
-75.1390238,40.2100027,"Wawa 0285 (24, Gas, Diesel)"
-76.00922,40.3259366,"Wawa 0286 (24, Gas)"
-75.5522273,40.5667395,"Wawa 0287 (24, Gas)"
-75.1472667,40.3858259,"Wawa 0288 (24, Gas)"
-76.0225,39.75028,"Wawa 0289 (24, Gas, Diesel)"
-75.405079,40.044754,Wawa 0291 (24)
-75.3486752,40.1527505,"Wawa 0292 (24, Gas, Diesel)"
-75.3102233,39.9254305,"Wawa 0293 (24, Gas)"
-75.26194,40.01222,Wawa 0294
-75.66106,40.208469,"Wawa 0295 (24, Gas)"
-75.41842,40.65864,"Wawa 0297 (24, Gas)"
-75.5624296,39.9005738,"Wawa 0298 (24, Gas)"
-75.4425844,40.6244699,"Wawa 0299 (24, Gas, Diesel)"
-74.68944,39.15722,Wawa 0300
-75.1214351,39.7365091,Wawa 0301 (24)
-74.649195,40.4032695,Wawa 0306 (24)
-74.342074,40.111881,Wawa 0309 (24)
-75.11079,39.87704,Wawa 0317 (24)
-74.2172709,40.0119106,"Wawa 0321 (24, Gas)"
-74.8603349,39.7226175,Wawa 0322 (24)
-75.0082656,39.9871088,Wawa 0323 (24)
-74.548829,39.953992,Wawa 0329 (24)
-75.0249248,39.8373966,Wawa 0331 (24)
-74.5579417,39.3918727,Wawa 0337 (24)
-74.7595453,39.0554655,Wawa 0342
-74.1439467,40.1196303,Wawa 0343 (24)
-74.9743348,39.9296905,Wawa 0344 (24)
-74.6319751,40.0610076,Wawa 0345 (24)
-75.0949564,39.8062291,Wawa 0346 (24)
-74.8470446,39.9735227,Wawa 0347 (24)
-74.2854778,40.123582,Wawa 0348 (24)
-74.7094752,40.2332859,Wawa 0349 (24)
-75.07032,39.9165,Wawa 0352
-74.826651,39.915316,Wawa 0353 (24)
-75.0325,39.85472,Wawa 0355 (24)
-74.8704637,39.9528142,Wawa 0358 (24)
-75.1345553,39.7701102,Wawa 0360 (24)
-74.991665,39.7844944,Wawa 0362 (24)
-74.4706711,40.3229475,Wawa 0365 (24)
-74.8038266,40.011448,Wawa 0366 (24)
-74.9225572,39.914757,"Wawa 0369 (24, Gas, Diesel)"
-74.3423153,39.6253745,"Wawa 0371 (24, Gas, Diesel)"
-74.675457,40.2645423,Wawa 0373 (24)
-74.97607,39.861251,Wawa 0374 (24)
-74.7431936,39.9318973,Wawa 0376 (24)
-75.012689,39.727891,Wawa 0377 (24)
-74.1957362,39.7909162,Wawa 0378 (24)
-75.0174448,39.6899452,Wawa 0379 (24)
-74.9259029,39.5151027,"Wawa 0380 (24, Gas, Diesel)"
-74.8717535,40.0500965,"Wawa 0382 (24, Gas, Diesel)"
-74.80565,39.63375,Wawa 0383 (24)
-74.7283191,40.0401626,Wawa 0387 (24)
-74.5949271,39.897767,Wawa 0388 (24)
-74.9306931,39.812284,Wawa 0391 (24)
-75.062208,39.833081,Wawa 0392 (24)
-74.9482542,39.784228,Wawa 0395 (24)
-75.099657,39.864814,"Wawa 0396 (24, Gas, Diesel)"
-75.1830779,39.7821542,Wawa 0398 (24)
-74.144593,40.0975132,Wawa 0401 (24)
-74.6470861,40.2229319,Wawa 0412 (24)
-74.970158,39.718185,"Wawa 0416 (24, Gas, Diesel)"
-74.922684,39.881708,Wawa 0418 (24)
-74.8559631,40.0239496,Wawa 0423 (24)
-75.1443254,39.8434745,Wawa 0427 (24)
-74.228194,39.967862,Wawa 0429 (24)
-74.7234654,39.0984252,Wawa 0432
-74.59133,39.3194492,Wawa 0433 (24)
-74.480545,39.344822,Wawa 0434 (24)
-74.4937546,39.4627848,Wawa 0438 (24)
-74.6331144,40.5182687,Wawa 0439 (24)
-74.213186,39.767461,Wawa 0441 (24)
-75.0085955,39.9397391,Wawa 0442 (24)
-75.080579,39.617212,Wawa 0444 (24)
-75.2290146,39.6163373,Wawa 0446 (24)
-74.9092736,38.9464914,Wawa 0452 (24)
-74.933728,39.871433,Wawa 0455 (24)
-74.76056,39.81694,Wawa 0457 (24)
-75.337742,39.645555,"Wawa 0459 (24, Gas, Diesel)"
-75.02139,40.00361,Wawa 0460 (24)
