longitude,latitude,type,address,city,state,zip
-80.0603,36.1286,Sheetz,790 North Main Street, Kernersville,NC,27284
-80.3411,36.2781,Sheetz,703 East King St, King,NC,27021
-78.496412,35.797874,Sheetz,6030 Village Park Dr, Knightdale,NC,27545
-80.2883,35.8,Sheetz,2350 South Main Street, Lexington,NC,27292
-80.2369,35.9361,Sheetz,8283 Old Us Highway 52, Lexington,NC,27295
-78.8066874,35.4206712,Sheetz,55 Pine State St, Lillington,NC,27546
-78.2969,36.0961,Sheetz,108 South Bickett Blvd, Louisburg,NC,27549
-79.2703,36.0697,Sheetz,1237 Mebane Oaks Rd, Mebane,NC,27302
-80.5847,35.9192,Sheetz,1449 Yadkinville Road, Mocksville,NC,27028
-78.82227,35.80817,Sheetz,1019 Morrisville Parkway, Morrisville,NC,27560
-78.8361,35.8461,Sheetz,10700 Chapel Hill Road, Morrisville,NC,27560
-78.7953,35.855,Sheetz,1600 Aviation Parkway, Morrisville,NC,27560
-78.863744,35.877601,Sheetz,390 Davis Dr, Morrisville,NC,27560
-80.6369,36.4589,Sheetz,2905 Rockford St, Mt Airy,NC,27030
-77.9737645,35.9790254,Sheetz,100 East Evans Drive, Nashville,NC,27856
-78.5994,35.8628,Sheetz,2408 Dixie Forest Road, Raleigh,NC,27615
-78.5881,35.8489,Sheetz,4660 Millbrook Green Drive, Raleigh,NC,27604
-78.5567,35.8986,Sheetz,4801 Thornton Rd, Raleigh,NC,27616
-78.5483,35.7931,Sheetz,5200 New Bern Ave, Raleigh,NC,27610
-78.7394,35.7903,Sheetz,600 Corporate Center Dr, Raleigh,NC,27607
-78.538947,35.876275,Sheetz,7513 Ramble Way, Raleigh,NC,27616
-78.6989,35.6661,Sheetz,7900 Fayetteville Rd, Raleigh,NC,27603
-78.72883,35.87359,Sheetz,8101 Glenwood Ave, Raleigh,NC,27612
-78.7131,35.6381,Sheetz,9915 Fayetteville Rd, Raleigh,NC,27603
-79.6939,36.3519,Sheetz,1647 Freeway Drive, Reidsville,NC,27320
-77.6958,36.4458,Sheetz,1500 Julian Allsbrook Hwy, Roanoke Rapids,NC,27870
-77.8961,35.9725,Sheetz,157 North Old Carriage Road, Rocky Mount,NC,27804
